HLY-TEMP-NORMAL,TEMPERATURE MEAN
HLY-TEMP-10PCTL,TEMPERATURE 10TH PERCENTILE
HLY-TEMP-90PCTL,TEMPERATURE 90TH PERCENTILE
HLY-DEWP-10PCTL,DEW POINT 10TH PERCENTILE
HLY-DEWP-90PCTL,DEW POINT 90TH PERCENTILE
HLY-DEWP-NORMAL,DEW POINT MEAN
HLY-WCHL-NORMAL,WIND CHILL MEAN
HLY-HIDX-NORMAL,HEAT INDEX MEAN
HLY-HTDH-NORMAL,HEATING DEGREE HOURS BASE 65F
HLY-CLDH-NORMAL,COOLING DEGREE HOURS 65F
HLY-PRES-10PCTL,SEA LEVEL PRESSURE 10TH PERCENTILE
HLY-PRES-90PCTL,SEA LEVEL PRESSURE 90TH PERCENTILE
HLY-PRES-NORMAL,SEA LEVEL PRESSURE MEAN
HLY-WIND-1STDIR,PREVAILING WIND DIRECTION
HLY-WIND-1STPCT,PREVAILING WIND PERCENTAGE
HLY-WIND-2NDDIR,SECONDARY WIND DIRECTION
HLY-WIND-2NDPCT,SECONDARY WIND PERCENTAGE
HLY-WIND-AVGSPD,AVERAGE WIND SPEED
HLY-WIND-PCTCLM,PERCENTAGE CALM
HLY-WIND-VCTDIR,MEAN WIND VECTOR DIRECTION
HLY-WIND-VCTSPD,MEAN WIND VECTOR MAGNITUDE
HLY-CLOD-PCTCLR,CLOUDS CLEAR PERCENTAGE
HLY-CLOD-PCTFEW,CLOUDS FEW PERCENTAGE
HLY-CLOD-PCTSCT,CLOUDS SCATTERED PERCENTAGE
HLY-CLOD-PCTBKN,CLOUDS BROKEN PERCENTAGE
HLY-CLOD-PCTOVC,CLOUDS OVERCAST PERCENTAGE